,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
335,atbasar,KZ,51.8,68.3333,18.1,90,100,5.88,light snow
336,pacific grove,US,36.6177,-121.9166,51.42,90,75,8.99,broken clouds
337,bartica,GY,6.4,-58.6167,75.52,97,93,1.05,overcast clouds
338,irbeyskoye,RU,55.6428,95.4522,17.6,90,97,0.58,overcast clouds
339,la orilla,MX,17.9833,-102.2333,73.24,91,6,4.23,clear sky
340,biak,ID,-0.9131,122.8766,78.93,82,100,1.88,overcast clouds
341,namatanai,PG,-3.6667,152.4333,80.46,72,33,8.34,scattered clouds
342,chapais,CA,49.7834,-74.8492,11.98,93,100,7.2,light snow
343,logrono,ES,42.4667,-2.45,51.3,87,75,3.44,broken clouds
344,shimoda,JP,34.6667,138.95,58.15,73,2,0.74,clear sky
345,abha,SA,18.2164,42.5053,73.22,31,20,9.22,few clouds
346,coihaique,CL,-45.5752,-72.0662,50.61,93,40,6.91,scattered clouds
347,bafoulabe,ML,13.8065,-10.8321,87.37,12,95,11.3,overcast clouds
348,broome,US,42.2506,-75.833,31.35,73,100,4.0,overcast clouds
349,nantucket,US,41.2835,-70.0995,35.71,58,36,17.05,scattered clouds
350,bambous virieux,MU,-20.3428,57.7575,80.85,47,20,9.22,few clouds
351,moyale,KE,3.5167,39.0584,82.96,38,33,11.48,scattered clouds
352,suhbaatar,MN,50.2314,106.2078,21.43,62,100,15.26,overcast clouds
353,abnub,EG,27.2696,31.1511,71.82,34,0,11.88,clear sky
354,teguise,ES,29.0605,-13.564,71.82,73,75,12.66,broken clouds
